"time","BESS.SOC"
0,0.5
0,0.5
0,0.5
899.9743150684932,0.5
900,0.5
900,0.5
900.0000000901049,0.5
900.0000000901049,0.5
1799.948630136986,0.5
1800,0.5
1800,0.5
1800.000000180107,0.5
1800.000000180107,0.5
2699.92294520548,0.5
2700,0.5
2700,0.5
2700.000000270112,0.5
2700.000000270112,0.5
3599.897260273973,0.5
3600,0.5
3600,0.5
3600.000000360124,0.5
3600.000000360124,0.5
4499.871575342466,0.5
4500,0.5
4500,0.5
4500.000000450157,0.5
4500.000000450157,0.5
5399.845890410959,0.5
5400,0.5
5400,0.5
5400.00000054014,0.5
5400.00000054014,0.5
6299.820205479452,0.5
6300,0.5
6300,0.5
6300.000000630128,0.5
6300.000000630128,0.5
7199.794520547945,0.5
7200,0.5
7200,0.5
7200.000000720107,0.5
7200.000000720107,0.5
8099.768835616438,0.5
8100,0.5
8100,0.5
8100.000000810175,0.5
8100.000000810175,0.5
8999.743150684932,0.5
9000,0.5
9000,0.5
9000.000000900189,0.5
9000.000000900189,0.5
9899.717465753425,0.5
9900,0.5
9900,0.5
9900.000000990236,0.5
9900.000000990236,0.5
10799.69178082192,0.5
10800,0.5
10800,0.5
10800.00000108022,0.5
10800.00000108022,0.5
11699.66609589041,0.5
11700,0.5
11700,0.5
11700.0000011702,0.5
11700.0000011702,0.5
12599.6404109589,0.5
12600,0.5
12600,0.5
12600.00000126018,0.5
12600.00000126018,0.5
13499.6147260274,0.5
13500,0.5
13500,0.5
13500.00000135025,0.5
13500.00000135025,0.5
14399.58904109589,0.5
14400,0.5
14400,0.5
14400.00000144014,0.5
14400.00000144014,0.5
15299.56335616438,0.5
15300,0.5
15300,0.5
15300.00000153017,0.5
15300.00000153017,0.5
16199.53767123288,0.5
16200,0.5
16200,0.5
16200.00000162016,0.5
16200.00000162016,0.5
17099.51198630137,0.5
17100,0.5
17100,0.5
17100.00000171027,0.5
17100.00000171027,0.5
17999.48630136986,0.5
18000,0.5
18000,0.5
18000.0000018003,0.5
18000.0000018003,0.5
18899.46061643835,0.5
18900,0.5
18900,0.5
18900.00000189026,0.5
18900.00000189026,0.5
19799.43493150685,0.5
19800,0.5
19800,0.5
19800.00000198019,0.5
19800.00000198019,0.5
20699.40924657534,0.5
20700,0.5
20700,0.5
20700.00000207025,0.5
20700.00000207025,0.5
21599.38356164384,0.5
21600,0.5
21600,0.5
21600.00000216052,0.5
21600.00000216052,0.5
22499.35787671233,0.5
22500,0.5
22500,0.5
22500.00000225011,0.5
22500.00000225011,0.5
23399.33219178082,0.5
23400,0.5
23400,0.5
23400.00000234027,0.5
23400.00000234027,0.5
24299.30650684932,0.5
24300,0.5
24300,0.5
24300.00000243033,0.5
24300.00000243033,0.5
25199.28082191781,0.5
25200,0.5
25200,0.5
25200.00000252047,0.5
25200.00000252047,0.5
26099.2551369863,0.5
26100,0.5
26100,0.5
26100.00000261033,0.5
26100.00000261033,0.5
26999.22945205479,0.5
27000,0.5
27000,0.5
27000.00000270018,0.5
27000.00000270018,0.5
27899.20376712329,0.5
27900,0.5
27900,0.5
27900.00000279065,0.5
27900.00000279065,0.5
28799.17808219178,0.5
28800,0.5
28800,0.5
28800.00000288014,0.5
28800.00000288014,0.5
29699.15239726027,0.5
29700,0.5
29700,0.5
29700.00000297025,0.5
29700.00000297025,0.5
30599.12671232877,0.5
30600,0.5
30600,0.5
30600.00000306047,0.5
30600.00000306047,0.5
31499.10102739726,0.5
31500,0.5
31500,0.5
31500.00000315013,0.5
31500.00000315013,0.5
32399.07534246575,0.5
32400,0.5
32400,0.5
32400.00000324028,0.5
32400.00000324028,0.5
33299.04965753425,0.5
33300,0.5
33300,0.5
33300.00000333016,0.5
33300.00000333016,0.5
34199.02397260274,0.5
34200,0.5
34200,0.5
34200.00000342041,0.5
