Scenario,diff,per_savings_tot,demand_diff,per_savings_dmd,energy_diff,per_savings_egy,emissions_diff,per_savings_emr
4,23078,0.7862496593077133,2729,0.4124848851269649,20349,0.8950123152709359,29,0.8529411764705882
5,23817,0.7260616407035941,3063,0.3737188872620791,20754,0.8434185394399968,30,0.8108108108108109
6,24361,0.5545665634674922,2906,0.20414471373375484,21455,0.7225608729330145,29,0.6744186046511628
7,23967,0.7306343931957443,3174,0.38726207906295756,20793,0.8450034543016215,30,0.8108108108108109
8,24395,0.5553405572755418,2835,0.19915700737618547,21560,0.7260970599131108,29,0.6744186046511628
