time,solar,meter_load,building_load,opt_load,opt_load_intplt,inverter_control
2023-01-18 15:45:00,26914.933333333334,6482.784265138533,-20432.1490681948,7907.8,7907.8,-1425.0157348614675
2023-01-18 16:00:00,17644.13333333333,5738.516902672,-11905.616430661332,7470.7,7470.7,-1732.1830973280003
2023-01-18 16:15:00,6202.133333333333,-2719.2317301427997,-8921.365063476132,6223.6,6223.6,-8942.8317301428
2023-01-18 16:30:00,409.79999999999995,-10308.234895837999,-10718.034895837998,5149.0,5149.0,-15457.234895837999
2023-01-18 16:45:00,-337.07142857142856,-18215.407942713333,-17878.336514141905,4171.2,4171.2,-22386.607942713334
2023-01-18 17:00:00,-99.93333333333334,-20803.03997394667,-20703.106640613336,3679.6000000000004,3679.6000000000004,-24482.639973946672
2023-01-18 17:15:00,-102.53333333333333,-19605.470052086668,-19502.936718753335,3676.5,3676.5,-23281.970052086668
2023-01-18 17:30:00,-94.73333333333333,-19056.839843746668,-18962.106510413334,3638.2,3638.2,-22695.03984374667
2023-01-18 17:45:00,-99.06666666666666,-19670.854427086666,-19571.78776042,3517.2,3517.2,-23188.054427086667
2023-01-18 18:00:00,-95.6,-19549.908203140003,-19454.308203140004,3502.5,3502.5,-23052.408203140003
2023-01-18 18:15:00,-98.19999999999999,-19247.42382812667,-19149.22382812667,3539.7,3539.7,-22787.12382812667
2023-01-18 18:30:00,-98.19999999999999,-19407.925,-19309.725,3561.9,3561.9,-22969.825
2023-01-18 18:45:00,-98.19999999999999,-19552.82252604,-19454.62252604,3617.9,3617.9,-23170.72252604
2023-01-18 19:00:00,-99.06666666666666,-19828.499479166665,-19729.4328125,3695.0,3695.0,-23523.499479166665
2023-01-18 19:15:00,-97.33333333333333,-19411.321223960003,-19313.98789062667,3880.6,3880.6,-23291.921223960002
2023-01-18 19:30:00,-93.80000000000001,-19369.086979166666,-19275.286979166667,4066.2000000000003,4066.2000000000003,-23435.286979166667
2023-01-18 19:45:00,-97.33333333333333,-20114.435156253334,-20017.10182292,4212.0,4212.0,-24326.435156253334
