time,load,opt_load,solar,net_load,ivt
12:00:00 AM,20733.0,-9851.6,-0.9300000000000002,20826.0,30677.600000000002
12:15:00 AM,19752.8,-9851.6,-0.9300000000000002,19845.8,29697.399999999998
12:30:00 AM,19707.4,-9851.6,-0.9300000000000002,19800.4,29651.999999999996
12:45:00 AM,22031.4,-9851.6,-0.9300000000000002,22124.4,31976.0
01:00:00 AM,21572.9,-9851.6,-0.9300000000000002,21665.9,31517.5
01:15:00 AM,20917.4,-9851.6,-0.9300000000000002,21010.4,30862.0
01:30:00 AM,19363.800000000003,-9851.6,-0.9300000000000002,19456.800000000003,29308.399999999998
01:45:00 AM,20078.1,-9851.6,-0.9300000000000002,20171.1,30022.7
02:00:00 AM,19326.2,-9851.6,-0.9300000000000002,19419.2,29270.800000000003
02:15:00 AM,16226.0,-9851.6,-0.9300000000000002,16319.000000000002,26170.6
02:30:00 AM,17684.5,-9851.6,-0.9300000000000002,17777.5,27629.100000000002
02:45:00 AM,17414.899999999998,-9851.6,-0.79,17493.9,27345.5
03:00:00 AM,17399.8,-9851.6,-0.9300000000000002,17492.8,27344.4
03:15:00 AM,16926.8,-9851.6,-0.9300000000000002,17019.8,26871.4
03:30:00 AM,16245.8,-9851.6,-0.79,16324.8,26176.4
03:45:00 AM,17416.899999999998,-9851.6,-0.9300000000000002,17509.899999999998,27361.5
04:00:00 AM,16095.7,-9851.6,-0.9300000000000002,16188.7,26040.3
04:15:00 AM,16725.8,-9851.6,-0.9300000000000002,16818.8,26670.4
04:30:00 AM,16155.300000000001,-9851.6,-0.79,16234.300000000001,26085.899999999998
04:45:00 AM,16321.6,-9851.6,-0.9409090909090899,16415.690909090903,26267.290909090898
05:00:00 AM,17791.399999999998,-9851.6,-0.9206666666666699,17883.4666666667,27735.0666666667
05:15:00 AM,15972.4,-9851.6,-2.0366666666666697,16176.066666666698,26027.666666666697
05:30:00 AM,17115.5,-9851.6,-1.4800000000000002,17263.5,27115.100000000002
05:45:00 AM,18033.899999999998,-9851.6,16.3666666666667,16397.2333333333,26248.833333333303
06:00:00 AM,17285.0,-9851.6,33.856,13899.4,23750.999999999996
06:15:00 AM,18569.199999999997,-9851.6,54.455999999999996,13123.6,22975.2
06:30:00 AM,18523.800000000003,-9851.6,83.97666666666669,10126.1333333333,19977.7333333333
06:45:00 AM,21650.600000000002,-9851.6,143.655333333333,7285.06666666667,17136.666666666697
07:00:00 AM,28411.5,-9851.6,220.48571428571398,6362.928571428571,16214.528571428598
07:15:00 AM,37014.0,-9851.6,299.98466666666695,7015.53333333334,16867.133333333302
07:30:00 AM,35965.6,-9851.6,377.595333333333,-1793.93333333334,8057.666666666661
07:45:00 AM,39142.4,-9851.6,454.286428571429,-6286.242857142851,3565.35714285715
08:00:00 AM,45913.7,-9851.6,538.605333333333,-7946.833333333339,1904.76666666666
08:15:00 AM,45931.5,-11056.6,617.93,-15861.5,-4804.9
08:30:00 AM,46523.6,-13234.9,694.7946666666669,-22955.866666666698,-9720.966666666669
08:45:00 AM,42630.200000000004,-15454.3,767.428,-34112.6,-18658.3
09:00:00 AM,45306.3,-16594.6,835.0279999999999,-38196.5,-21601.9
09:15:00 AM,48711.5,-17311.5,900.4633333333331,-41334.8333333333,-24023.333333333303
09:30:00 AM,43266.9,-17988.1,961.3764285714291,-52870.74285714289,-34882.6428571429
09:45:00 AM,52630.1,-18437.100000000002,1008.6506666666701,-48234.9666666667,-29797.8666666667
10:00:00 AM,44653.799999999996,-19119.399999999998,1010.8526666666701,-56431.4666666667,-37312.0666666667
10:15:00 AM,49863.799999999996,-19427.1,1011.0893333333299,-51245.1333333333,-31818.0333333333
10:30:00 AM,40409.700000000004,-20185.9,1010.4013333333301,-60630.4333333334,-40444.5333333333
10:45:00 AM,43085.2,-20463.8,1011.116,-58026.4,-37562.600000000006
11:00:00 AM,49845.2,-20558.5,1010.7760000000001,-51232.4,-30673.9
11:15:00 AM,43624.299999999996,-21087.7,1009.992,-57374.899999999994,-36287.2
11:30:00 AM,51419.1,-21055.9,1010.1179999999999,-49592.7,-28536.8
11:45:00 AM,41596.5,-21659.4,1009.5766666666701,-59361.1666666667,-37701.7666666667
12:00:00 PM,43057.299999999996,-21781.999999999996,1009.758,-57918.5,-36136.5
12:15:00 PM,47992.0,-21725.7,1009.674,-52975.4,-31249.7
12:30:00 PM,43557.299999999996,-22016.7,1009.45466666667,-57388.1666666667,-35371.4666666667
12:45:00 PM,49833.399999999994,-21839.1,1008.684,-51035.0,-29195.9
